               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09722,            0.043786,             0.05827,          0.00018351,            0.084416,          0.00016477,          3.5988e-05,              0.0874,            0.031797,            0.057228,               0.073,               0.003,               0.003
                   1,            0.081172,            0.048575,            0.056856,          0.00016845,            0.077489,          0.00013562,          2.7833e-05,            0.072238,            0.034716,            0.056271,            0.045094,            0.006094,            0.006094
                   2,            0.076093,            0.051972,            0.055218,          0.00080453,             0.14156,          0.00059004,          0.00014778,            0.069077,            0.033484,            0.053946,            0.017182,           0.0091818,           0.0091818
                   3,            0.071073,            0.051438,            0.052704,                   0,                   0,                   0,                   0,             0.11209,            0.015247,             0.17728,           0.0099703,           0.0099703,           0.0099703
                   4,            0.066267,            0.050459,            0.047808,          3.3254e-05,           0.0011249,           1.703e-05,           1.703e-06,             0.10802,            0.022918,             0.26985,           0.0099703,           0.0099703,           0.0099703
                   5,            0.064561,            0.044492,            0.044685,             0.57998,             0.12886,            0.015626,           0.0043933,             0.05793,            0.035607,            0.047291,           0.0099604,           0.0099604,           0.0099604
                   6,            0.063763,            0.042013,            0.042252,              0.6046,             0.12507,            0.046548,            0.010172,            0.060168,            0.027208,            0.043553,           0.0099505,           0.0099505,           0.0099505
                   7,            0.060306,            0.037427,            0.040472,             0.61139,             0.12293,            0.034437,           0.0093547,            0.051452,              0.0354,            0.046016,           0.0099406,           0.0099406,           0.0099406
                   8,            0.058307,            0.035521,            0.038474,             0.67001,             0.20343,             0.13061,             0.04966,            0.044055,            0.028619,            0.038578,           0.0099307,           0.0099307,           0.0099307
                   9,            0.055354,             0.03223,            0.037461,             0.70149,              0.2036,             0.15888,            0.064979,            0.044049,            0.027015,            0.038607,           0.0099208,           0.0099208,           0.0099208
                  10,            0.051684,            0.031588,            0.035859,             0.72196,             0.26649,             0.20205,            0.074437,            0.044254,            0.022224,            0.036642,           0.0099109,           0.0099109,           0.0099109
                  11,            0.051304,            0.030141,            0.034826,             0.62942,             0.27522,             0.20998,            0.084108,            0.042321,            0.021979,            0.036057,            0.009901,            0.009901,            0.009901
                  12,            0.048194,            0.030305,            0.033284,             0.58616,             0.24255,             0.15981,            0.055119,            0.043886,             0.02416,            0.036045,           0.0098911,           0.0098911,           0.0098911
